owner,name,url,description,run_count,created_at,visibility,github_url,paper_url,license_url
lucataco,hermes-2-pro-llama-3-8b,https://replicate.com/lucataco/hermes-2-pro-llama-3-8b,"Hermes 2 Pro is an updated and cleaned version of the OpenHermes 2.5 Dataset, as well as a newly introduced Function Calling and JSON Mode dataset developed in-house",9993,2024-05-06T20:06:05.823305Z,public,https://github.com/lucataco/cog-Hermes-2-Pro-Llama-3-8B,,
pseudoram,rvc-v2,https://replicate.com/pseudoram/rvc-v2,Speech to speech with any RVC v2 trained AI voice,1091467,2024-06-27T13:06:26.298735Z,public,https://github.com/PseudoRAM/RVC-v2-UI,,https://github.com/PseudoRAM/RVC-v2-UI/blob/main/LICENSE
goodtome,hello,https://replicate.com/goodtome/hello,hello world,47,2024-02-05T03:31:51.479572Z,public,,,
google-deepmind,gemma2-27b-it,https://replicate.com/google-deepmind/gemma2-27b-it,Google's Gemma2 27b instruct model,12887,2024-06-28T01:46:54.689469Z,public,https://github.com/lucataco/cog-gemma2-it,https://arxiv.org/abs/2304.06364,https://ai.google.dev/gemma/terms
zsxkib,aura-sr,https://replicate.com/zsxkib/aura-sr,AuraSR: GAN-based Super-Resolution for real-world,3056,2024-06-27T11:59:28.732833Z,public,https://github.com/zsxkib/cog-aura-sr,https://arxiv.org/abs/2303.05511v2,https://github.com/fal-ai/aura-sr/tree/main?tab=CC-BY-SA-4.0-1-ov-file#readme
google-deepmind,gemma2-9b-it,https://replicate.com/google-deepmind/gemma2-9b-it,Google's Gemma2 9b instruct model,24378,2024-06-27T21:14:32.134186Z,public,https://github.com/lucataco/cog-gemma2-it,,https://ai.google.dev/gemma/terms
omniedgeio,aquaaibase,https://replicate.com/omniedgeio/aquaaibase,Model,413,2023-11-04T02:12:07.128741Z,public,,,
tencent,hunyuandit-v1.1,https://replicate.com/tencent/hunyuandit-v1.1,A Powerful Multi-Resolution Diffusion Transformer with Fine-Grained Chinese Understanding,1102,2024-06-26T20:20:45.528831Z,public,https://github.com/lucataco/cog-HunyuanDiT-v1.1,https://arxiv.org/abs/2403.08857,https://huggingface.co/Tencent-Hunyuan/HunyuanDiT/blob/main/LICENSE.txt
lkincel,tinytales,https://replicate.com/lkincel/tinytales,Model that generates Cartoon like characters,889,2024-06-26T07:48:24.635393Z,public,,,
zeke,sd3-inpainting-with-differential-diffusion,https://replicate.com/zeke/sd3-inpainting-with-differential-diffusion,Stable Diffusion 3 with Differential Diffusion inpainting (experimental),271,2024-06-26T00:48:05.589990Z,public,https://github.com/replicate/cog-stable-diffusion-3/pull/4,,
c-barron,owl-sam,https://replicate.com/c-barron/owl-sam,Fork of https://replicate.com/schananas/grounded_sam that uses OwlV2 instead of Grounding Dino,4715,2024-05-31T02:23:33.899279Z,public,https://github.com/c-barron/grounded_sam_replicate,,https://github.com/c-barron/grounded_sam_replicate/blob/main/LICENSE
lucataco,florence-2-large,https://replicate.com/lucataco/florence-2-large,Florence-2: Advancing a Unified Representation for a Variety of Vision Tasks,405119,2024-06-25T17:46:39.985517Z,public,https://github.com/lucataco/cog-florence-2-base,https://arxiv.org/abs/2311.06242,https://huggingface.co/microsoft/Florence-2-large/resolve/main/LICENSE
lucataco,florence-2-base,https://replicate.com/lucataco/florence-2-base,Florence-2: Advancing a Unified Representation for a Variety of Vision Tasks,102359,2024-06-25T17:29:12.550047Z,public,https://github.com/lucataco/cog-florence-2-base,https://arxiv.org/abs/2311.06242,https://huggingface.co/microsoft/Florence-2-base/resolve/main/LICENSE
prakharsaxena24,2d-to-real-style,https://replicate.com/prakharsaxena24/2d-to-real-style,,498,2024-05-23T14:29:35.591569Z,public,,,
